City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tolanaro,-25.0319,46.9987,64.47,100,75,11.5,MG,1725148758
84,mairipora,-23.3186,-46.5867,69.46,68,23,3.18,BR,1725148695
85,port mathurin,-19.6833,63.4167,71.24,74,38,17.18,MU,1725148760
86,iskateley,67.6803,53.1512,55.2,94,100,13.02,RU,1725148761
87,new norfolk,-42.7826,147.0587,49.71,98,100,4.9,AU,1725148763
88,ebolowa,2.9,11.15,67.64,100,64,2.39,CM,1725148764
89,isafjordur,66.0755,-23.124,52.41,87,97,14.7,IS,1725148765
90,tangalle,6.024,80.7911,76.41,91,70,8.95,LK,1725148766
91,luganville,-15.5333,167.1667,80.92,57,58,14.03,VU,1725148767
92,ribeira grande,38.5167,-28.7,73.78,75,97,8.01,PT,1725148768
93,beyla,8.6833,-8.6333,68.41,98,100,2.26,GN,1725148769
94,clewiston,26.7542,-80.9337,78.01,78,24,5.86,US,1725148771
95,ketchikan,55.3422,-131.6461,65.77,77,100,14.97,US,1725148703
96,whangarei,-35.7317,174.3239,71.92,52,63,4.76,NZ,1725148773
97,okhotsk,59.3833,143.3,56.1,89,100,20.38,RU,1725148774
98,khost,33.3395,69.9204,76.82,66,14,0.09,AF,1725148775
99,yangquan,37.8575,113.5633,72.95,95,100,0.58,CN,1725148776
100,bilibino,68.0546,166.4372,48.56,77,100,2.73,RU,1725148778
101,al bardiyah,31.7561,25.0865,78.48,75,0,7.9,LY,1725148780
102,margarita belen,-27.2616,-58.9722,63.05,54,99,5.95,AR,1725148781
103,kapa'a,22.0752,-159.319,87.48,66,20,5.01,US,1725148782
104,kovernino,57.1253,43.8142,53.74,80,12,5.68,RU,1725148783
105,utrik,11.2278,169.8474,83.08,73,41,13.4,MH,1725148784
106,shalqar,47.8333,59.6,62.58,42,0,6.91,KZ,1725148785
107,jaisalmer,26.9147,70.9181,83.12,66,1,11.21,IN,1725148768
108,shimoda,34.6667,138.95,81.1,90,100,10.09,JP,1725148787
109,sinabang,2.4803,96.3801,77.86,84,100,1.63,ID,1725148789
110,kidal,18.4411,1.4078,80.74,63,100,14.72,ML,1725148790
111,saint-philippe,-21.3585,55.7679,69.19,81,54,10.45,RE,1725148791
112,afaahiti,-17.75,-149.2833,73.4,80,97,31.29,PF,1725148792
113,belmonte,-15.8631,-38.8828,70.47,78,2,6.6,BR,1725148793
114,brookings,44.3114,-96.7984,80.26,57,0,1.99,US,1725148508
115,nova sintra,14.8667,-24.7167,79.39,90,98,13.33,CV,1725148795
116,quellon,-43.1167,-73.6167,49.41,74,100,13.18,CL,1725148797
117,prince rupert,54.3161,-130.3201,62.29,88,31,5.75,CA,1725148798
118,talnakh,69.4865,88.3972,40.3,94,100,11.79,RU,1725148799
119,sungai penuh,-2.0833,101.3833,66.94,93,97,3.56,ID,1725148800
120,cabo san lucas,22.8909,-109.9124,84.92,64,1,13.65,MX,1725148801
121,ulan-ude,51.8261,107.6098,49.89,93,0,2.24,RU,1725148802
122,kangding,30.0513,101.9603,64.02,93,93,1.77,CN,1725148803
123,bakchar,57.0186,82.0711,42.08,98,83,4.54,RU,1725148710
124,swaffham,52.6469,0.6887,63.59,87,75,6.91,GB,1725148806
125,kapit,2.0167,112.9333,75.58,96,96,1.34,MY,1725148807
126,segou,13.4317,-6.2157,76.06,90,100,7.31,ML,1725148808
127,kievka,50.2619,71.5514,46.35,91,8,11.48,KZ,1725148809
128,wailua homesteads,22.0669,-159.378,86.13,75,28,5.01,US,1725148810
129,ulsteinvik,62.3432,5.8487,50.31,89,95,1.01,NO,1725148812
130,vilyuchinsk,52.9306,158.4028,57.47,98,100,15.55,RU,1725148813
131,atafu village,-8.5421,-172.5159,82.92,76,2,20.4,TK,1725148814
132,kayyerkan,69.3786,87.7439,39.78,95,100,14.63,RU,1725148816
133,peace river,56.2501,-117.286,77.31,41,0,17.27,CA,1725148817
134,badger,64.8,-147.5333,64.36,57,0,1.01,US,1725148818
135,tura,25.5198,90.2201,75.52,96,98,3.47,IN,1725148819
136,iqaluit,63.7506,-68.5145,37.13,86,100,6.91,CA,1725148821
137,longyearbyen,78.2186,15.6401,44.44,93,75,18.41,SJ,1725148822
138,cidade velha,14.9167,-23.6167,79.7,90,90,5.7,CV,1725148823
139,changling,44.2653,124.0005,63.03,90,99,13.91,CN,1725148825
140,tashtyp,52.7939,89.8983,52.25,95,100,4.45,RU,1725148827
141,tazacorte,28.629,-17.9293,70.77,74,0,12.66,ES,1725148828
142,hilo,19.7297,-155.09,84.94,87,41,7.0,US,1725148829
143,bridgewater,44.3835,-64.5155,64.08,88,1,6.91,CA,1725148830
144,canutama,-6.5339,-64.3831,84.79,28,4,1.92,BR,1725148831
145,topchikha,52.8192,83.1185,51.1,92,100,6.93,RU,1725148832
146,udachny,66.4167,112.4,55.47,47,100,4.41,RU,1725148833
147,korla,41.7597,86.1469,71.47,45,12,4.47,CN,1725148835
148,kerikeri,-35.2268,173.9474,67.57,77,91,5.46,NZ,1725148836
149,mandalgovi,45.7625,106.2708,50.45,67,0,6.26,MN,1725148837
150,ixtapa,20.7,-105.2,81.23,90,99,1.01,MX,1725148838
151,saudarkrokur,65.7461,-19.6394,59.79,75,44,17.34,IS,1725148839
152,nantucket,41.2835,-70.0995,68.11,94,40,6.91,US,1725148581
